site,zone,points,n_area,n_compactness,n_occlusivity,n_enclosure,area_m2,compactness,occlusivity_m,enclosure_ratio
Alexanderplatz,1,761,0.40651712220762154,0.9669824704336399,0.6067585282523,0.568945860709593,21284.611997371896,0.19827613666228658,483.0501839684627,0.267284296977661
Alexanderplatz,2,74,0.3443909459459458,0.7973877027027023,0.49095135135135143,0.9941845945945944,18628.62905405406,0.17349891891891897,441.85635135135135,0.3825241891891891
Marienplatz,2,497,0.12171615694164988,0.4807900402414492,0.3434462575452718,1.0715029577464774,9108.919839034217,0.12724348088531184,389.38738430583527,0.4034772233400402
Marienplatz,3,65,0.16773000000000005,0.1618083076923077,0.5066396923076923,0.8874050769230769,11076.085999999996,0.08064015384615383,447.4361538461539,0.3535863076923076
Odeonsplatz,0,141,0.320776170212766,0.3412073049645391,0.6881020567375888,0.28915631205673764,17619.053829787244,0.10685021276595744,511.9846099290778,0.19146113475177312
Odeonsplatz,1,12,0.27084916666666664,0.7656,0.45293333333333335,0.5366775,15484.563333333332,0.16885416666666667,428.3341666666666,0.25854
Odeonsplatz,2,202,0.252554207920792,0.5999993564356435,0.38245123762376254,0.9320922772277223,14702.463613861386,0.14466000000000004,403.26183168316834,0.3656969306930694
Odeonsplatz,3,63,0.2862339682539682,0.40232841269841274,0.5099807936507937,0.5674519047619049,16142.330000000004,0.1157801587301588,448.62428571428575,0.2668795238095239
Konstablerwache,0,658,0.33469965045592687,0.33139907294832793,0.7002631306990879,0.35832317629179317,18214.30132218845,0.10541735562310024,516.3106079027358,0.21020560790273574
Konstablerwache,1,3,0.3562433333333333,0.7159,0.44489333333333336,0.44578,19135.36666666667,0.16159333333333334,425.47,0.2339066666666667
Konstablerwache,2,98,0.25973510204081623,0.5388654081632654,0.44726234693877537,0.7881299999999998,15009.445816326537,0.1357284693877551,426.31622448979596,0.3266835714285714
Konstablerwache,3,208,0.2958993269230769,0.2819026923076924,0.5212518269230769,0.5159750480769232,16555.518942307695,0.09818629807692306,452.63485576923057,0.2529294711538462
Alter Markt,2,136,0.1248661029411765,0.437499705882353,0.17315529411764713,0.8195384558823529,9243.596029411761,0.12091889705882357,328.8130147058824,0.33519499999999997
Alter Markt,3,524,0.1405012786259543,0.2068216603053435,0.2314775381679391,0.5249098664122134,9912.007919847329,0.08721660305343523,349.5590648854962,0.25535070610687044
Rathausmarkt,0,853,0.42722973036342243,0.512548464243845,0.8587016998827653,0.4641601875732711,22170.107608440805,0.13188329425556858,572.6688511137162,0.2388873505275501
Rathausmarkt,1,61,0.33415147540983603,0.7812672131147539,0.6656883606557378,0.6254667213114753,18190.854754098364,0.17114327868852458,504.0121311475409,0.2826013114754098
Rathausmarkt,2,92,0.41080978260869555,0.5607390217391304,0.6418673913043477,0.9749364130434782,21468.124782608702,0.1389236956521739,495.53913043478275,0.37730771739130436
Naschmarkt,2,189,0.0032941798941798915,0.7414425925925925,0.13628470899470904,1.1467756613756614,4046.2062433862434,0.16532444444444436,315.6980423280422,0.423875925925926
Naschmarkt,3,1,0.11759,0.32419,0.65722,0.76487,8932.74,0.10436,501,0.32038
Burgplatz,0,147,0.6988222448979599,0.4270190476190479,0.24962530612244904,0.12654639455782318,33781.12653061225,0.1193875510204082,356.0145578231293,0.14739360544217686
Burgplatz,1,103,0.588862912621359,0.8079438834951456,0.11162048543689318,0.39927970873786417,29080.168543689313,0.1750403883495146,306.92417475728143,0.22130485436893196
Burgplatz,2,9,0.5268677777777779,0.6215122222222222,0.04725555555555556,0.7710566666666667,26429.882222222222,0.14780222222222222,284.02777777777777,0.3220555555555556
Burgplatz,3,18,0.5729372222222221,0.40479777777777776,0.15225333333333335,0.34388833333333335,28399.28277777778,0.11614055555555557,321.3777777777778,0.20629277777777777
Burgplatz,4,540,1.175398185185186,0.9833386481481482,0.10353009259259263,0.03559653703703703,54155.46857407403,0.2006658703703703,304.04655555555536,0.12274655555555551
Marktplatz,1,38,-0.007225789473684209,1.5271310526315787,-0.024347631578947364,0.735277894736842,3596.464736842106,0.2801134210526316,258.5592105263159,0.3123602631578948
Marktplatz,2,167,0.009645449101796405,0.6537301796407187,0.0014639520958083824,0.7592583233532935,4317.7322754491015,0.15250982035928148,267.74077844311387,0.3188589820359282
Marktplatz,3,51,0.018943333333333333,0.3309527450980393,0.04108941176470589,0.6627843137254902,4715.228431372549,0.10535176470588235,281.83588235294127,0.2927149019607843
Augustusplatz,0,996,0.6415039759036142,0.409439578313253,0.8606064056224906,0.1638655321285141,31330.668644578316,0.11681911646586353,573.3462449799191,0.15750765060240968
Augustusplatz,1,22,0.5051454545454545,0.7984313636363637,0.6031577272727272,0.5678772727272726,25501.135000000006,0.1736509090909091,481.77090909090913,0.26699454545454543
Augustusplatz,2,7,0.5225828571428571,0.49063571428571434,0.5528557142857143,0.8693628571428571,26246.55,0.12868,463.8757142857143,0.34869857142857147
Augustusplatz,3,1,0.37717,0.25766,0.54241,0.53653,20030.02,0.09464,460.16,0.2585
Hauptmarkt,2,58,0.16190689655172413,0.45434310344827594,-0.18883275862068968,0.8932943103448276,10827.149482758625,0.12337948275862069,200.0505172413793,0.3551827586206897
Hauptmarkt,3,282,0.16381879432624125,0.1404073758865248,0.0015374468085106404,0.46578138297872357,10908.885177304968,0.07751329787234042,267.76705673758863,0.23932684397163098
Herderplatz,2,17,0.014295882352941177,0.3704176470588235,-0.025242941176470583,0.8759923529411764,4516.5776470588235,0.11111823529411767,258.24058823529407,0.35049294117647056
Herderplatz,3,187,0.041643368983957235,0.03905320855614974,0.0931149732620321,0.549236737967914,5685.684705882352,0.06270556149732621,300.34176470588216,0.261943101604278
Theaterplatz,2,28,0.035706428571428576,0.5938882142857144,0.07520321428571426,0.7332928571428571,5431.878214285714,0.14376642857142857,293.9707142857143,0.31182321428571436
